date_post;open_price
20/05/2013;130.880005
21/05/2013;132.169998
22/05/2013;134.179993
23/05/2013;134.509995
24/05/2013;134.110001
28/05/2013;133.679993
29/05/2013;134.089996
30/05/2013;136.669998
31/05/2013;135.710007
03/06/2013;134.770004
04/06/2013;135.210007
05/06/2013;135.470001
06/06/2013;135.389999
07/06/2013;134.110001
10/06/2013;133.300003
11/06/2013;132.309998
12/06/2013;132.949997
13/06/2013;133.309998
14/06/2013;134
17/06/2013;133.889999
18/06/2013;132.720001
19/06/2013;132.580002
20/06/2013;125.220001
21/06/2013;125.160004
24/06/2013;124.309998
25/06/2013;123.650002
01/07/2013;119.940002
02/07/2013;121.339996
03/07/2013;120.699997
05/07/2013;118.080002
08/07/2013;119.089996
09/07/2013;120.839996
10/07/2013;121.150002
11/07/2013;124.260002
12/07/2013;123.519997
15/07/2013;124.080002
16/07/2013;124.760002
17/07/2013;125.040001
18/07/2013;124.110001
19/07/2013;124.889999
22/07/2013;127.650002
23/07/2013;128.699997
24/07/2013;129.169998
25/07/2013;127.699997
26/07/2013;128.110001
29/07/2013;128.449997
30/07/2013;127.949997
01/08/2013;127.839996
02/08/2013;126.739998
05/08/2013;126.510002
06/08/2013;124.330002
07/08/2013;124
08/08/2013;124.779999
09/08/2013;126.510002
12/08/2013;129.570007
13/08/2013;128.490005
14/08/2013;127.660004
16/08/2013;132.559998
19/08/2013;132.330002
20/08/2013;132.029999
21/08/2013;131.740005
22/08/2013;132.559998
23/08/2013;132.580002
26/08/2013;134.880005
27/08/2013;136.940002
28/08/2013;137.210007
29/08/2013;136.119995
30/08/2013;134.649994
03/09/2013;135.460007
04/09/2013;134.610001
05/09/2013;134.130005
06/09/2013;133.419998
09/09/2013;134.130005
10/09/2013;131.820007
11/09/2013;131.580002
12/09/2013;128.619995
13/09/2013;127.160004
16/09/2013;127.480003
17/09/2013;126.809998
18/09/2013;125.32
19/09/2013;132
20/09/2013;130.600006
23/09/2013;127.519997
24/09/2013;126.400002
25/09/2013;127.57
26/09/2013;128.610001
27/09/2013;128.860001
30/09/2013;127.949997
01/10/2013;125.25
03/10/2013;126.769997
04/10/2013;127.050003
07/10/2013;127.25
08/10/2013;127.790001
09/10/2013;126.209999
